file,total_distance,first_point_lat,first_point_lon,first_point_time,last_point_in_first_circle_lat,last_point_in_first_circle_lon,last_point_in_first_circle_time,first_point_in_second_circle_lat,first_point_in_second_circle_lon,first_point_in_second_circle_time,time_between_circles_hours,last_point_lat,last_point_lon,last_point_time,total_time_gap_hours,num_points
0012.track,49.57,30.97785341,81.2846495,2024-05-13 13:36:22,30.98493495906936,81.27029043961461,2024-05-13 14:05:35,31.10127747658434,81.31124794978209,2024-05-13 19:31:57,5.926388888888889,30.978156349272794,81.28378130192743,2024-05-14 18:16:30,28.66888888888889,4677
0013.track,53.22,30.97818,81.283607,2024-06-22 11:02:30,30.983202,81.268931,2024-06-22 11:04:22,31.102887,81.310782,2024-06-22 18:09:07,7.110277777777778,30.977671,81.286067,2024-06-24 02:32:06,39.49333333333333,4779
0022.track,31.78,30.977804,81.285347,2011-07-20 12:09:18,30.984808,81.270309,2011-07-20 12:35:04,31.103212,81.311317,2011-07-20 18:08:56,5.993888888888889,31.106451,81.321228,2011-07-20 18:51:23,6.701388888888889,529
0040.track,48.42,30.9743,81.286697,2017-08-06 07:52:01,30.984943,81.270264,2017-08-06 08:39:43,31.101213,81.311287,2017-08-06 14:48:37,6.943333333333333,30.974783,81.286819,2017-08-07 16:13:05,32.35111111111111,4930
0043.track,46.83,30.982893,81.272956,2017-10-05 08:59:50,30.984962,81.270236,2017-10-05 09:06:43,31.101243,81.31124,2017-10-05 17:14:34,8.245555555555555,30.972126,81.287129,2017-10-06 22:30:49,37.51638888888889,4547
0049.track,46.8,30.983165,81.27269,2018-05-19 12:53:48,30.984931,81.270325,2018-05-19 12:59:07,31.101241,81.31124,2018-05-19 20:04:34,7.179444444444444,30.973027,81.28628,2018-05-20 23:05:19,34.191944444444445,4477
0051.track,46.08,30.975898,81.287126,2018-05-23 09:03:24,30.984717,81.27055,2018-05-23 09:43:52,31.101287,81.311381,2018-05-23 16:20:06,7.278333333333333,30.973143,81.293866,2018-05-24 21:07:20,36.065555555555555,997
0053.track,49.47,30.97323,81.286465,2018-05-30 06:40:29,30.984952,81.27026,2018-05-30 07:26:05,31.101269,81.311264,2018-05-30 13:20:44,6.670833333333333,30.969944,81.285213,2018-05-31 17:51:35,35.185,4638
0058.track,50.08,30.97799,81.284482,2018-06-06 09:12:49,30.979704,81.279512,2018-06-06 09:23:12,31.102705,81.310794,2018-06-06 16:09:29,6.944444444444445,30.976393,81.287408,2018-06-07 22:25:57,37.21888888888889,1575
0065.track,51.5,30.969689,81.285266,2018-07-05 07:49:53,30.984988,81.270286,2018-07-05 10:07:30,31.101273,81.311286,2018-07-05 19:07:58,11.301388888888889,30.970406,81.285616,2018-07-07 00:50:24,41.00861111111111,4719
0066.track,49.21,30.975657,81.287745,2018-07-11 09:50:11,30.984899,81.270313,2018-07-11 10:33:19,31.101168,81.311315,2018-07-11 17:44:38,7.9075,30.975746,81.287881,2018-07-12 21:39:46,35.826388888888886,4469
0068.track,48.21,30.974871,81.286926,2018-07-19 08:43:25,30.984929,81.270273,2018-07-19 09:20:50,31.101505,81.311143,2018-07-19 15:32:23,6.816111111111111,30.977349,81.287467,2018-07-20 20:43:55,36.00833333333333,4458
0069.track,48.21,30.97487138,81.28692557,2018-07-19 08:43:25,30.98492945522673,81.27027274202608,2018-07-19 09:20:50,31.101504626605898,81.31114288097578,2018-07-19 15:32:23,6.816111111111111,30.97734895582817,81.2874668896463,2018-07-20 20:43:55,36.00833333333333,4458
0071.track,47.21,30.979456,81.280364,2018-07-26 09:06:15,30.984882,81.270231,2018-07-26 09:23:30,31.101193,81.311223,2018-07-26 15:46:14,6.666388888888889,30.969681,81.28523,2018-07-27 16:06:01,30.996111111111112,3090
0087.track,51.05,30.97367,81.286768,2018-08-17 09:31:17,30.9831,81.268785,2018-08-17 09:58:10,31.101271,81.311236,2018-08-17 15:15:07,5.730555555555555,30.97036,81.286594,2018-08-18 12:57:36,27.43861111111111,3526
0089.track,47.1,30.977652,81.28604,2018-08-19 09:35:34,30.984948,81.270255,2018-08-19 10:00:18,31.101246,81.31128,2018-08-19 15:33:03,5.958055555555555,30.977428,81.287577,2018-08-20 18:26:23,32.846944444444446,4183
0097.track,47.56,30.977209,81.287308,2018-09-04 09:50:48,30.9849,81.270304,2018-09-04 10:26:45,31.101233,81.311296,2018-09-04 16:22:33,6.529166666666667,30.973885,81.286514,2018-09-05 20:13:16,34.37444444444444,4205
0098.track,50.33,30.980313,81.277942,2018-09-06 13:55:45,30.984926,81.270339,2018-09-06 14:05:58,31.1029,81.310762,2018-09-06 19:40:00,5.7375,30.976396,81.28719,2018-09-07 19:06:36,29.180833333333332,4412
0099.track,50.08,30.973593,81.28653,2018-09-11 08:36:12,30.98495,81.270232,2018-09-11 09:24:39,31.101301,81.311193,2018-09-11 14:53:53,6.294722222222222,30.97327,81.286194,2018-09-12 16:05:21,31.485833333333332,4280
0114.track,49.92,30.974004,81.286627,2018-09-22 08:39:40,30.984893,81.27028,2018-09-22 09:11:03,31.101224,81.311281,2018-09-22 13:13:39,4.566388888888889,30.977365,81.287348,2018-09-23 14:34:40,29.916666666666668,4487
0118.track,50.16,30.977347,81.287365,2018-09-26 08:26:58,30.985014,81.270273,2018-09-26 08:59:41,31.101239,81.311318,2018-09-26 14:50:26,6.391111111111111,30.979393,81.28675,2018-09-27 16:51:51,32.414722222222224,4497
0120.track,56.3,30.975537,81.288212,2018-09-27 06:33:55,30.984953,81.270259,2018-09-27 07:17:40,31.101227,81.311283,2018-09-27 12:16:58,5.7175,30.975556,81.287991,2018-09-27 23:22:05,16.802777777777777,4794
0126.track,48.01,30.977604,81.286159,2018-09-28 07:37:00,30.983182,81.26878,2018-09-28 08:07:35,31.101042,81.311289,2018-09-28 13:46:59,6.166388888888889,30.977675,81.285976,2018-09-29 17:13:20,33.605555555555554,4518
0144.track,52.9,30.975779,81.28699,2018-06-07 10:33:39,30.984943,81.270256,2018-06-07 11:09:21,31.101256,81.311263,2018-06-07 19:36:38,9.049722222222222,30.977416,81.28756,2018-06-08 22:24:10,35.841944444444444,4819
0159.track,50.2,30.97486681565726,81.2869309226531,2019-05-20 10:11:21,30.98498130716022,81.27029693386235,2019-05-20 10:50:19,31.102920099860544,81.31077576644942,2019-05-20 17:46:06,7.579166666666667,30.974823067300132,81.2869710390503,2019-05-22 15:55:06,53.729166666666664,4453
0166.track,50.46,30.97225539,81.28625558,2019-05-31 10:43:05,30.984949303757215,81.27026858083984,2019-05-31 11:31:39,31.10127558290135,81.31122428780904,2019-05-31 19:17:17,8.57,30.97221165779878,81.28610985155579,2019-06-01 20:04:01,33.34888888888889,4615
0169.track,50.56,30.97179475,81.28624914,2019-06-03 08:12:36,30.984948967894276,81.27025878891875,2019-06-03 09:06:46,31.10295160826445,81.31083213551001,2019-06-03 16:48:11,8.593055555555555,30.969824879339225,81.2851143609033,2019-06-04 22:03:26,37.84722222222222,4274
0170.track,50.49,30.977837922188627,81.28482628628915,2019-06-04 08:52:54,30.984888335899633,81.27028719414896,2019-06-04 09:26:42,31.102992692982088,81.31081715566228,2019-06-04 16:50:53,7.966388888888889,30.97044423641545,81.28699357767604,2019-06-05 22:53:36,38.01166666666666,4656
0173.track,43.53,30.97943168,81.28039274,2019-06-06 08:44:05,30.982377566623825,81.27348574210603,2019-06-06 08:57:43,31.10156536102295,81.31347835063934,2019-06-06 16:38:52,7.913055555555555,30.963674225175478,81.30923244792811,2019-06-07 17:34:47,32.845,2189
0181.track,49.07,30.977048,81.28728,2019-06-11 10:15:19,30.984976,81.270243,2019-06-11 10:51:33,31.101256,81.311278,2019-06-11 17:29:04,7.229166666666667,30.977224,81.287287,2019-06-12 20:04:11,33.81444444444445,4614
0183.track,47.69,30.978288866796376,81.28364832559838,2019-06-19 11:40:24,30.984899398796486,81.27028135857982,2019-06-19 12:06:23,31.101256227104823,81.31126625565528,2019-06-19 18:38:39,6.970833333333333,30.978280124685536,81.28376306099918,2019-06-20 18:39:28,30.984444444444446,4301
