file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
0012.kml,,30.97785341,81.2846495,4658.726,0.4891900475405482,2024-05-12 22:36:22,2024-05-14 03:17:36,28.69,5,2024
0013.kml,,30.97818,81.283607,4673.736308,0.5672425794830293,2024-06-21 20:02:29,2024-06-23 11:32:21,39.5,6,2024
0026.kml,,30.97863,81.28905,4696.0,0.5806081408547911,2014-06-01 16:58:09,2014-06-02 07:02:00,14.06,6,2014
0028.kml,,30.97792,81.28595,4603.2998,0.4616867818959649,2016-08-12 14:19:34,2016-08-13 02:09:33,11.83,8,2016
0029.kml,,30.976095,81.28717,4647.2,0.257450347093911,,,,,
0030.kml,,30.976095,81.28717,4647.2,0.257450347093911,,,,,
0031.kml,,30.9761,81.28717,0.0,0.2579974675340893,2016-10-13 13:50:46,2016-10-14 03:47:27,13.94,10,2016
0032.kml,,30.976095,81.28717,0.0,0.257450347093911,2016-10-13 13:50:46,2016-10-14 03:47:27,13.94,10,2016
0033.kml,,30.976095,81.28717,0.0,0.257450347093911,2016-10-13 13:50:46,2016-10-14 03:47:27,13.94,10,2016
0034.kml,,30.976095,81.28717,0.11111111,0.257450347093911,2016-10-13 13:50:46,2016-10-14 03:47:27,13.94,10,2016
0035.kml,,30.976095,81.28717,0.0,0.257450347093911,2016-10-13 13:50:46,2016-10-14 03:47:27,13.94,10,2016
0036.kml,,30.97721,81.289,4692.0,0.4369163354847975,,,,,
0037.kml,,30.9743,81.2867,4666.75781,0.05375609033078738,2017-08-05 16:52:01,2017-08-07 01:14:01,32.37,8,2017
0038.kml,,30.9743,81.2867,4666.75781,0.05375609033078738,2017-08-05 16:52:01,2017-08-07 01:13:25,32.36,8,2017
0040.kml,,30.9743,81.286697,4666.757812,0.05375151508596549,2017-08-05 16:52:01,2017-08-07 01:13:25,32.36,8,2017
0043.kml,,30.982893,81.272957,4683.779785,1.6530327653329102,2017-10-04 17:59:50,2017-10-06 08:09:10,38.16,10,2017
0044.kml,,30.97702,81.2873,4688.72998,0.36092118435091597,2017-07-17 23:25:27,2017-07-19 09:55:43,34.5,7,2017
0045.kml,,30.974276,81.284424,4667.0,0.2219452043599508,2017-09-05 06:06:11,2017-09-05 06:06:11,0.0,9,2017
0046.kml,,30.973849,81.286274,4663.0,0.03977450277096672,,,,,
0049.kml,,30.983166,81.27269,4673.352051,1.691745711998713,2018-05-18 21:53:35,2018-05-20 08:09:12,34.26,5,2018
0051.kml,,30.975898,81.287126,4662.955078,0.23514821369247957,,,,,
0053.kml,,30.97323,81.286465,4658.485183,0.0686529666547412,2018-05-29 15:40:16,2018-05-31 02:52:29,35.2,5,2018
0055.kml,,30.97327,81.28627,4663.41113,0.07276079602574806,2018-06-02 12:56:05,2018-06-03 05:47:15,16.85,6,2018
0057.kml,,30.974174,81.286469,4664.291504,0.04495351405977634,2018-06-05 03:56:31,2018-06-05 12:59:55,9.06,6,2018
0058.kml,,30.97799,81.284482,4634.3,0.5095477164143123,,,,,
0060.kml,,30.97427,81.28667,4667.37256,0.0504450888594124,2018-06-12 16:57:58,2018-06-14 01:31:04,32.55,6,2018
0061.kml,,30.9774,81.287285,4653.2905,0.4024755998674377,,,,,
0068.kml,,30.974871,81.286926,4639.81543,0.1193878731265446,,,,,
0069.kml,,30.97487138,81.28692557,4639.8154,0.11942163341197516,2018-07-18 17:43:25,1969-12-31 16:00:00,-425544.72,7,2018
0079.kml,,30.970522,81.286583,4641.292969,0.3664883324193524,2018-07-31 18:06:41,2018-08-03 12:08:24,66.03,7,2018
0082.kml,,30.97545,81.28696,4670.55029,0.18344294584500326,2018-08-02 17:58:48,2018-08-04 01:20:41,31.36,8,2018
0083.kml,,30.972331,81.286231,4645.0,0.1708813236612685,,,,,
0084.kml,,30.972331,81.286231,4645.0,0.1708813236612685,,,,,
0087.kml,,30.97367,81.286768,4619.979342,0.01794232426128499,,,,,
0088.kml,,30.977272,81.288711,4650.361328,0.4298450082968834,,,,,
0090.kml,,30.977341,81.28732,4662.016602,0.39647396161337517,,,,,
0096.kml,,30.973801,81.285782,4653.0,0.08653564443648815,2018-09-01 18:45:30,2018-09-02 05:14:41,10.49,9,2018
0097.kml,,30.977209,81.287308,4661.95536,0.3817940335530701,,,,,
0098.kml,,30.980313,81.277942,4657.073184,1.1033008184696975,,,,,
0099.kml,,30.973593,81.28653,4644.768066,0.029147989369116774,,,,,
